,,high,neutral,low,average
ABCG4,ENSG00000172350.5,3.0,71.0,48.0,-0.18458196721311473
ABCG5,ENSG00000138075.7,8.0,101.0,13.0,-0.016614754098360655
ABCG8,ENSG00000143921.6,8.0,100.0,14.0,-0.018639344262295087
ABHD1,ENSG00000143994.9,12.0,96.0,14.0,-0.0027049180327868845
ABHD10,ENSG00000144827.4,17.0,96.0,9.0,0.09268852459016397
ABHD11,ENSG00000106077.14,15.0,99.0,8.0,0.06292622950819668
ABHD12,ENSG00000100997.14,25.0,94.0,3.0,0.1329672131147541
ABHD12B,ENSG00000131969.10,10.0,82.0,30.0,-0.013483606557377048
ABHD13,ENSG00000139826.5,17.0,67.0,38.0,-0.004581967213114746
ABHD14A,ENSG00000248487.4,3.0,83.0,36.0,-0.10632786885245905
ABHD14B,ENSG00000114779.15,3.0,83.0,36.0,-0.10460655737704921
ABHD15,ENSG00000168792.4,19.0,71.0,32.0,0.07538524590163935
ABHD16A,ENSG00000204427.7,22.0,93.0,7.0,0.1477377049180328
ABHD16B,ENSG00000183260.5,37.0,83.0,2.0,0.23285245901639343
ABHD17A,ENSG00000129968.11,4.0,83.0,35.0,-0.1131639344262295
ABHD17B,ENSG00000107362.9,6.0,93.0,23.0,-0.04811475409836066
ABHD17C,ENSG00000136379.7,5.0,97.0,20.0,-0.03970491803278688
ABHD2,ENSG00000140526.12,11.0,90.0,21.0,-0.03471311475409836
ABHD3,ENSG00000158201.5,8.0,86.0,28.0,-0.06548360655737703
ABHD4,ENSG00000100439.6,9.0,84.0,29.0,-0.004754098360655734
ABHD5,ENSG00000011198.3,6.0,93.0,23.0,-0.05018032786885246
ABHD6,ENSG00000163686.9,4.0,86.0,32.0,-0.08962295081967213
ABHD8,ENSG00000127220.5,15.0,95.0,12.0,0.06264754098360656
ABI1,ENSG00000136754.12,16.0,89.0,17.0,0.05341803278688526
ABI2,ENSG00000138443.10,3.0,92.0,27.0,-0.07298360655737705
ABI3,ENSG00000108798.4,27.0,75.0,20.0,0.14438524590163931
ABI3BP,ENSG00000154175.12,21.0,94.0,7.0,0.11955737704918036
ABL1,ENSG00000097007.13,6.0,88.0,28.0,-0.07066393442622951
ABL2,ENSG00000143322.15,76.0,45.0,1.0,0.45633606557377066
ABLIM1,ENSG00000099204.14,2.0,97.0,23.0,-0.05850819672131148
ABLIM2,ENSG00000163995.14,2.0,84.0,36.0,-0.11721311475409835
ABLIM3,ENSG00000173210.15,12.0,93.0,17.0,0.033229508196721304
ABO,ENSG00000175164.9,6.0,92.0,24.0,-0.06542622950819667
ABR,ENSG00000159842.10,6.0,55.0,61.0,-0.17109836065573772
ABRA,ENSG00000174429.3,71.0,50.0,1.0,0.5854016393442621
ABRACL,ENSG00000146386.7,15.0,82.0,25.0,0.010393442622950817
ABT1,ENSG00000146109.3,19.0,93.0,10.0,0.09932786885245903
ABTB1,ENSG00000114626.13,17.0,97.0,8.0,0.08990163934426228
